fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
2022-03-01T00:00:00.000,lunes,2022-01-01T00:00:00.000,sabado,3:a.m.,si,si,si,no,si,no,femenino,35.0,no,ninguno,unión libre,postgrado,ninguno,comuna7,italia,directora de agencia,1.0,propia,3,1.0,masculino,conyugue,1.0,13.0,unión libre,postgrado,asesor comercial,ninguno,comuna7,italia,familiar
2022-03-01T00:00:00.000,lunes,2022-01-01T00:00:00.000,sabado,12:30.p.m.,no,si,si,no,si,no,femenino,23.0,no,ninguno,soltero(a),bachiller completo,ninguno,comuna3,rivera escobar,islera,,alquilada,no aplica,,masculino,ex-conyugue,,,soltero(a),no aplica,soldador,ninguno,comuna1,zamorano,no aplica
2022-05-01T00:00:00.000,miercoles,2022-04-01T00:00:00.000,martes,07:30 p. m.,si,si,si,no,si,no,femenino,36.0,no,ninguno,unión libre,bachiller incompleto,ninguno,comuna3,emilia,independiente,2.0,alquilada,3,2.0,masculino,conyugue,2.0,14.0,unión libre,primaria completa,obra blanca,ninguno,comuna3,emilia,alquilada
2022-06-01T00:00:00.000,viernes,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,17.0,no,ninguno,soltero(a),no aplica,ninguno,comuna 7,guayacanes del ingenio,trabajo en casa,3.0,no aplica,no aplica,,femenino,hijo(a),5.0,44.0,soltero(a),no aplica,no registro,ninguno,no aplica,guayacanes del sur,no aplica
2022-06-01T00:00:00.000,viernes,31/12/2021,viernes,no aplica,no,no,si,no,si,no,femenino,48.0,no,ninguno,unión libre,no aplica,ninguno,comuna1,orlidia,ama de casa,2.0,alquilada,1,,masculino,ex-conyugue,,,unión libre,no aplica,construccion,ninguno,comuna1,orlidia,alquilada
2022-06-01T00:00:00.000,viernes,no aplica,no aplica,no aplica,no,si,si,si,si,no,masculino,62.0,no,ninguno,separado(a),postgrado,ninguno,comuna4,obrero,pensionado,3.0,alquilada,no aplica,5.0,femenino,no aplica,1.0,5.0,soltero(a),bachiller completo,seguridad en eventos,ninguno,comuna3,emilia,familiar
2022-07-01T00:00:00.000,sabado,2022-06-01T00:00:00.000,viernes,no aplica,no,no,si,no,si,no,femenino,32.0,no,ninguno,no aplica,bachiller completo,ninguno,comuna5,el bosque,medicina estetica,1.0,alquilada,2,,masculino,ex-conyugue,1.0,36.0,soltero(a),no aplica,pintor,ninguno,comuna5,urb el bosque,alquilada
2022-07-01T00:00:00.000,sabado,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,28.0,si,ninguno,casado(a),postgrado,ninguno,comuna6,colombina,cor. de productividad,2.0,alquilada,4,3.0,masculino,conyugue,2.0,3.0,casado(a),tecnólogo,lider de proyecto,ninguno,comuna6,colombina,alquilada
2022-07-01T00:00:00.000,sabado,2022-06-01T00:00:00.000,viernes,6:a.m,si,si,si,no,si,no,masculino,,si,ninguno,soltero(a),no aplica,ninguno,comuna7,sembrador,guarda seguridad,1.0,propia,2,4.0,masculino,no aplica,,,soltero(a),no aplica,no registro,ninguno,comuna7,sembrador,familiar
2022-07-01T00:00:00.000,sabado,no aplica,no aplica,no aplica,si,si,si,si,si,no,femenino,53.0,no,ninguno,casado(a),primaria completa,ninguno,comuna3,emilia,lavador de camas,,alquilada,no aplica,,masculino,conyugue,,49.0,casado(a),no aplica,lavador de camas,ninguno,comuna3,emilia,alquilada
2022-08-01T00:00:00.000,domingo,2022-07-01T00:00:00.000,sabado,02:19 p. m.,no,si,si,no,si,no,femenino,20.0,no,ninguno,soltero(a),pregrado,ninguno,no aplica,medellin,estudiante,,alquilada,no aplica,1.0,masculino,padre,2.0,20.0,soltero(a),primaria completa,vendedor,ninguno,comuna2,santa teresita,alquilada
2022-08-01T00:00:00.000,domingo,31/12/2021,viernes,no aplica,si,si,si,no,si,no,femenino,39.0,no,ninguno,unión libre,técnico,ninguno,comuna7,guyacanes,ama de casa,3.0,no aplica,no aplica,3.0,masculino,conyugue,3.0,42.0,separado(a),tecnólogo,empleado,ninguno,comuna7,ingenio mayaguez,alquilada
2022-10-01T00:00:00.000,martes,2022-09-01T00:00:00.000,lunes,11:00 p. m.,si,si,si,no,si,no,femenino,38.0,no,ninguno,unión libre,bachiller completo,ninguno,comuna5,palmirana,ama de casa,,alquilada,5,1.0,femenino,hermano(a),,,unión libre,bachiller completo,ama de casa,ninguno,comuna7,guayacanes del sur,no aplica
